Country 	total population	male	female	 year
Slovenia	81.2	78.3	84.2	2018 est.
Solomon Islands	75.8	73.1	78.6	2018 est.
Somalia	53.2	51	55.4	2018 est.
South Africa	64.1	62.7	65.6	2018 est.
Spain	81.8	78.8	85	2018 est.
Sri Lanka	77.1	73.7	80.8	2018 est.
Sudan	65.8	63.7	68.1	2018 est.
Suriname	72.8	70.3	75.3	2018 est.
Svalbard				2017 est.
Sweden	82.2	80.3	84.3	2018 est.
Switzerland	82.7	80.4	85.2	2018 est.
Syria	75.2	72.8	77.8	2018 est.
Taiwan	80.4	77.2	83.7	2018 est.
Tajikistan	68.4	65.2	71.7	2018 est.
Tanzania	63.1	61.6	64.6	2018 est.
Thailand	75.1	71.9	78.5	2018 est.
Timor-Leste	68.7	67.1	70.4	2018 est.
Togo	65.8	63.1	68.6	2018 est.
Tokelau				2017 est.
Tonga	76.6	75	78.3	2018 est.
Trinidad and Tobago	73.4	70.5	76.4	2018 est.
Tunisia	75.9	74.3	77.6	2018 est.
Turkey	75.3	72.9	77.7	2018 est.
Turkmenistan	70.7	67.6	73.9	2018 est.
Turks and Caicos Islands	80.1	77.3	83	2018 est.
Tuvalu	67.2	65	69.5	2018 est.
Uganda	56.3	54.8	57.8	2018 est.
Ukraine	72.4	67.7	77.4	2018 est.
United Arab Emirates	78.7	77.3	80.1	2018 est.
United Kingdom	80.9	78.7	83.2	2018 est.
United States	80.1	77.8	82.3	2018 est.
Uruguay	77.6	74.4	80.8	2018 est.
Uzbekistan	74.3	71.2	77.5	2018 est.
Vanuatu	74	72.4	75.7	2018 est.
Venezuela	76.2	73.2	79.3	2018 est.
Vietnam	73.9	71.4	76.7	2018 est.
Virgin Islands	79.5	76.3	83	2018 est.
Wallis and Futuna	80	77	83.1	2018 est.
West Bank	75.4	73.4	77.6	2018 est.
Western Sahara	63.8	61.4	66.2	2018 est.
World	69.8	67.8	72	2018 est.
Yemen	66.2	64	68.5	2018 est.
Zambia	53	51.4	54.7	2018 est.
Zimbabwe	61.1	59	63.2	2018 est.
